ID,Name,Designator,Footprint,Quantity,Source Link
1,.33uF,"C7, C8, C9, C10, C11, C12, C13, C14",C0805,8,
2,1uF,"C15, C16",C0805,2,
3,0.1uF,"C1, C2, C3, C4, C5, C6, C22, C23, C25, C26, C42",C0805,11,
4,10uF,"C47, C48",CAP-D5.0XF2.0,2,
5,100pF,"C49, C54",C0805,2,
6,1N4148,"D9, D10, D13, D16, D19, D22, D27, D30, D33, D36, D39, D40, D45, D48, D51, D54, D57, D58, D63, D66, D69, D72, D75, D76, D81, D84, D87, D90, D93, D94, D101, D104, D107, D110, D113, D114, D119, D122, D125, D128, D131, D132, D137, D140, D143, D146, D149, D150",SOD-80_L3.5-W1.5-FD,48,
7,1N5819,"D99, D100",DO-41,2,
8,Ferrite,"F7, F8",7MM_RESISTOR,2,
9,X4611WV-04I-C28D40,"H1, H2, H3, H4, H5",HDR-TH_4P-P2.00-V-F,5,https://www.taydaelectronics.com/connectors-sockets/pin-headers/4-pin-2-00-mm-single-row-female-pin-header.html
11,LED_2X5MM_BICOLOR-CMN-CAT,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48",KINGBRIGHT-WP119EGWT-2X5-BICOLOR-LED,48,https://www.mouser.com/ProductDetail/Kingbright/WP119EGWT?qs=DkZGzo4b%252BTL9k4hr3wAL0g%3D%3D
12,LED-3MM-RED,"LED49, LED50, LED51, LED52, LED53, LED54",LED3MM-STOVEPIPE,6,https://www.mouser.com/Search/Refine?Keyword=696-SSLLX20483HDTD
13,HDR-IDC-2.54-2X4P,P1,IDC Box 2X4 2.54MM,1,
14,IDC Box 2.54mm 2X5P,P4,IDC Box 2.54mm 2X5P,1,
15,BC847,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,14,
16,4.7k,"R16, R17, R34, R35, R46, R47",R0805,6,
17,6.8k,"R10, R12, R14, R20, R22, R51",R0805,6,
18,33k,"R15, R24, R26, R27, R30, R32, R36, R38",R0805,8,
19,100K,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R11, R13, R18, R19, R21, R23, R25, R28, R29, R31, R33, R37, R50",R0805,22,
20,TRIMMER-3306F,R41,TRIMMER_3306F,1,
21,1k,"R39, R40, R43, R44, R57, R58, R59, R60, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158",R0805,104,
22,Submini DPDT On-On,"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40, S41, S42, S43, S44, S45, S46, S47, S48",SUBMINI TOGGLE SWITCH DPDT ON-ON,48,
23,AP2210K-ADJTRG1,U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP2210K-ADJTRG1?qs=x6A8l6qLYDCCYmI0z0bXxg%3D%3D
24,CD4028BM96,U7,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
25,TL074_SMD,"U6, U9",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,
26,THONKICONN,"U8, U10, U11, U12, U13, U14",THONKICONN-TIGHT,6,
27,B1M,"VR1, VR2, VR3, VR4, VR5, VR6",9MM_SNAP-IN_POT T-18,6,?
28,knobs,,Slim T-18 Knob,17,https://www.thonk.co.uk/shop/tall-trimmer-toppers/
